"","text"," ellekingmusic"," taylorswift"," torikelly"," kaceymusgraves"," carrieunderwood"," samhuntmusic"," kanyewest"," sofiavergara"," ladygaga"," meghan_trainor"," adele"," justinbieber"," thegrammys"," kendricklamar"," littlebigtown"," rihanna"," ddlovato"," jkcorden"," andradaymusic"," selenagomez"," brunomars"," beyonce"," mileycyrus"," harry_styles"," samhunt"," theweeknd"," djkhaled"," realalicecooper"," alabama_shakes"," wizkhalifa"," gwenstefani"," muse"," miguel"," angelalessandra"," chrissyteigen"," kaleycuoco"," elliegoulding"," rwitherspoon"," mslaurynhill"," chrisstapleton"," itzsteviewonder"," michaeljackson"," serayahlove"," zendaya"," hamilton"," johnlegend"," pharrel"," samsmith"," arianagrande"," johnnydepp"," llcoolj"," theeagles"," davegrohl"," mattbellamy"," nicklachey"," pharrell"," faithevans"," annakendrick"," janellemonae"," kimkardashian"," ciara"," annawintour"
"21","They're not even gonna address the Adele sound issues?? FUCK YOU, @TheGRAMMYs!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",".@Adele better come back and do that over again!!!!! And A FEW PEOPLE NEED TO BE FIRED FOR FUCKING THAT UP!!!!!!!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Stop! Someone stop @Adele and have her start over!!!!! We deserve better than tech issues!!!!! STOP RIGHT NOW!!!!!! CRAP SOUND!!! #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Is that awful guitar sound on purpose???? I'm so confused and not happy about this!!!!!!! @Adele  #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","WHAT THE FUCK IS UP WITH THE SOUND DURING QUEEN @ADELE?????? #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","What the fuck??? That guitar is sounding wack and ruining @Adele's performance!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",".@Adele!!!!!!!!!!!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","I am standing up in my apartment for @kendricklamar!!!!!!!!!!!! KING!!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","This @kendricklamar performance has me in goosebumps all over!!!!!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Damn!!!! @kendricklamar is giving me more theater than Hamilton!!!!! SO AMAZING!!!!!!! #GRAMMYs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
